0,1,2,3,4,5,6,7,8
238,양천구,목2동시장,골목형,양천구 목동중앙북로16길 3(목2동 526),인정,-,"3,020",87
239,양천구,목동깨비시장(목3동시장),골목형,양천구 목동중앙북로6길 5(목3동 617-13),인정,2644-3238,"5,106",96
240,양천구,목사랑시장(목4동시장),골목형,양천구 목동중앙남로 7길 8       (목동 726-18),인정,2647-9191,"1,970",86
241,양천구,신영시장,골목형,양천구 월정로 161-5(신월1동 114-18),인정,2604-3319,"4,520",110
242,양천구,월정로시장,골목형,양천구 월정로29길 3(신월1동 114-1),무등록,-,"2,230",121
243,양천구,신월3동시장 골목형상점가,골목형,양천구 남부순환로40가길 1-1(신월3동 178-1),골목형상점가,"9,923",156,
244,양천구,신월6동 골목시장,골목형,양천구 달맞이1길 7                (신월동 574-15),무등록,"2,190",53,
245,양천구,신월7동 골목시장(약수시장),골목형,양천구 자양로 82                (자양동 627-21),무등록,480,10,
246,양천구,신정1동 골목시장,골목형,양천구 중앙로34길 28               (신정동 1029-1),무등록,"1,560",38,
247,양천구,신곡종합시장,건물형,양천구 남부순환로79길 37(신월6동 575-17),등록,2698-6057,"1,150",8
248,양천구,신정제일시장,건물형,양천구 중앙로34길 30(신정1동 1030-6),등록,-,"1,340",11
249,양천구,우성상가,건물형,양천구 지양로 78(신월7동 928-1),등록,2693-1241,"5,035",19
250,양천구,오목교중앙시장,골목형,양천구 신정동 126-5 일대,인정,"4,407",63,
251,양천구,서서울 골목형상점가,골목형,양천구 곰달래로13길 15 일대(신월동 117-8),골목형상점가,"1,967",48,
소계,강서구,11,635,,,,,
252,강서구,공항시장,건물형,강서구 방화동로3길 7(방화동 620-17),등록,2662-2751,"3,582",4
253,강서구,남부화곡시장,건물형,강서구 등촌로5길 80 (화곡동 830-1),등록,2651-5554,"2,241",20
254,강서구,대원종합시장,건물형,강서구 화곡로21길 78 (화곡동 1023),등록,2695-4425,"2,739",32
255,강서구,신월중앙시장,건물형,강서구 강서로 54길 109(화곡동 929-1),등록,2693-9686,"1,943",18
256,강서구,등마루시장,건물형,강서구 화곡로 68길 120 (등촌동 637-10),등록,3661-8993,"2,325",10
257,강서구,까치산시장,골목형,강서구 강서로12길 14(강서구 화곡동 342-16),인정,2606-4500,"26,139",138
258,강서구,남부골목시장,골목형,강서구 등촌로5길 62-4(화곡동 801-9,인정,2646-5656,"21,776",145
259,강서구,방신전통시장,골목형,강서구 방화동로16길 32(강서구 방화동 567-23),인정,2666-4080,"6,963",88
260,강서구,화곡중앙시장,골목형,강서구 월정로30길 63(화곡동 370-37),인정,2065-7212,"9,436",55
261,강서구,화곡본동시장,골목형,강서구 까치산로 35 (화곡동 98-45),인정,2698-0779,"5,805",50
262,강서구,송화벽화시장,골목형,강서구 강서로 263-29(강서구 내발산동 720-4),상점가,2696-5225,"26,319",75
소계,구로구,9,609,,,,,
263,구로구,구로시장,골목형,구로구 구로동로22길 20-27      (구로동 735-168),등록,868-1452,"5,092",146
264,구로구,오류시장,건물형,구로구 경인로19가길 14-1          (오류동 38-7),등록,"3,947",16,
265,구로구,개봉중앙시장,건물형,구로구 개봉로17길 34             (개봉동 324-1),등록,839-3151,"1,515",21
266,구로구,고척근린시장,골목형,구로구 경인로33길 98-9   (고척동 257-6번지 외),인정,02-2060-7504,"3,947",67
267,구로구,남구로시장(舊 구로자율시장),골목형,구로구 구로동로28길 16-7(구로동) 일원,인정,855-8509,"23,966",183
268,구로구,고척프라자,건물형,구로구 중앙로10길 7                  (고척동 50-48),등록,"11,965",16,
269,구로구,개봉프라자,건물형,구로구 고척로40길 19               (고척동 269-1),등록,"9,974",36,
270,구로구,가리봉시장,골목형,구로구 우마길 15  (가리봉동 123-79),인정,"8,859",64,
271,구로구,고척골목시장상점가,상점가,구로구고척동51-1일대,상점가,"2,862",60,
소계,금천구,7,"1,038",,,,,
272,금천구,별빛남문시장,골목형,금천구 시흥대로144길 17 (독산동 984-10),인정,868-9727,"13,079",108
273,금천구,비단길현대시장,골목형,금천구 독산로41길 7 (시흥동 856~888),인정,802-7720,"23,598",188
274,금천구,대명여울빛거리시장(시장활성화구역 - 전통시장+상점가),골목형,금천구 시흥대로52길 70 (시흥동 884-5),인정,808-0811,"22,929",236
275,금천구,은행나무시장,골목형,금천구 금하로25길 1~35 골목일대 (시흥동),인정,802-5514,"2,202",50
276,금천구,독산동 우시장,건물형,"금천구 범안로 1209 (독산동 293-5,6 외 3필지)",상점가,896-1233,"18,600",159
277,금천구,독산동 맛나는거리상점가,상점가,독산동 286-14 외 50필지(금천구 시흥대로 398 ~ 독산로 247 ),상점가,837-1011,"18,021",157
278,금천구,정훈한마음골목시장,상점가,금천구 독산로64길 23 (독산동 1040-86),골목형상점가,805-1544,"6,814",140
소계,영등포구,21,"3,123",,,,,
279,영등포구,삼구시장,건물형,영등포구 영등포로 219(영등포동5가 19),등록,2634-0536,"3,758",48
280,영등포구,동남상가,건물형,영등포구 영등포로37길 4(영등포동5가 24),등록,2635-4846,"5,722",63
281,영등포구,영신상가,건물형,영등포구 영등포로 225                    (영등포동5가 18),등록,2634-0602,"10,323",86
282,영등포구,도림시장,건물형,영등포구 도영로 50(도림동 176-1),등록,846-7747,"4,156",2
283,영등포구,신동시장,건물형,"영등포구 가마산로69가길 12(신길동 259-8,9)",등록,832-1752,"1,877",8
284,영등포구,대신시장,건물형,영등포구 도신로60길 7(신길동 116-15),등록,842-0003,"12,968",110
285,영등포구,영일시장,골목형,영등포구 문래로30길 27(문래동3가 10),등록,2679-6832,"1,897",64
286,영등포구,영등포유통상가,건물형,영등포구 영등포로 109(당산동2가 30-2),등록,2635-7300,"75,575","1,450"
287,영등포구,대림중앙시장,골목형,영등포구 디지털로37나길 21(대림동 1075-47),인정,833-8113,"2,974",91
288,영등포구,영등포전통시장,혼합형,영등포동5가 33-29,상점가,2634-1308,"5,245",97
289,영등포구,제일상가,건물형,영등포구 영등포로 225       (영등포동5가 18),상점가,2634-0310,"1,063",44
290,영등포구,영등포청과시장,골목형,영등포구 영신로41길 5-1(당산동1가 157),상점가,2675-3269,"19,800",155
291,영등포구,로타리상가,건물형,영등포구 영등포로 219         (영등포동5가 20),상점가,2634-0591,"5,164",94
292,영등포구,남서울상가,상점가,영등포구 영중로14길 11              (영등포동5가 16()),상점가,2634-7610,"8,580",41
293,영등포구,우리시장,골목형,대림동 906-83,상점가,835-5599,"2,991",84
294,영등포구,영등포시장지하도상가,지하도상가,영등포구 영등포로 지하 221(영등포동5가 20),상점가,2676-2235,"3,637",68
295,영등포구,영등포역지하도상가,지하도상가,영등포구 경인로 843(영등포동3가 33),상점가,3667-8681,"4,678",74
296,영등포구,영등포로타리지하도상가,지하도상가,영중로 지하 20,상점가,2631-1248,"6,161",101
297,영등포구,영등포시장기계공구상가,골목형,영등포구 영중로14길 48(영등포동2가 167-1),상점가,2635-8005,"35,477",369
298,영등포구,선유도역 골목형상점가,골목형,"영등포구 선유로47길, 49길, 양평로19길 일대",골목형상점가,"1,201",35,
299,영등포구,대림중앙 골목형상점가,골목형,영등포구 디지털로37길 29,골목형상점가,"2,519",39,
소계,동작구,16,"1,012",,,,,
300,동작구,사당시장,건물형,동작구 사당로 244(사당4동 318-8),등록,02-582-9900,"3,843",14
301,동작구,강남시장,건물형,동작구 상도로 357(상도동 488),등록,813-6231,"2,323",16
302,동작구,성대시장,건물형,동작구 상도로 102(상도동 324-1),등록,822-4488,"6,831",56
303,동작구,본동인정시장,골목형,동작구 매봉로 177 (본동 187-1외 66필지),인정,823-3655,"8,099",20
304,동작구,신노량진시장,건물형,동작구 장승배기로 123-6 (노량진동 307-9),무등록,826-5800,"3,512",16
305,동작구,노량진중앙시장,골목형,동작구 만양로16길 9(노량진동 119-153,무등록,812-5535,"2,320",23
306,동작구,남성사계시장(남성시장),골목형,동작구 동작대로 129 일원(사당동 86-9 외),인정,02-536-3002,"10,984",135
307,동작구,성대전통시장,골목형,국사봉1길 41 일원(상도동 324-68 일원),인정,02-822-4456,"7,109",99
308,동작구,흑석시장,골목형,동작구 서달로12길 19 일원(흑석동 54-148 일원),무등록,02-3280-4050,"5,051",66
309,동작구,남성역골목시장,골목형,동작구 사당로16가길 19  일원               (사당동 267-4 일원),인정,070-4015-8396,"5,579",75
310,동작구,상도전통시장,골목형,동작구 상도로37길 62 일원(상도동 467-2 일원),인정,02-824-3747,"7,770",69
311,동작구,사당1동먹자골목상점가,골목형,동작대로3길 14 일원(사당동 1032-31 일원),상점가,02-522-5578,"4,228",81
312,동작구,상도약수골목형상점가,상점가,동작구 양녕로26길 10 일대(상도4동 210번지 일대),골목형상점가,070-8100-8708,"6,108",100
313,동작구,상도도깨비 골목형상점가,상점가,동작구 상도로 22길 일대(상도동 186-5 일원),골목형상점가,"5,130",99,
314,동작구,신대방1동골목상권,골목형,동작구 시흥대로 658 ~ 신대방길 54        (신대방동 607-5 일원),무등록,02-831-6787,113,
315,동작구,만양로상점가,상점가,동작구 만양로 92,무등록,30,,
소계,관악구,22,"1,722",,,,,
316,관악구,봉일시장,건물형,관악구 은천로 28(은천동 951-25),등록,02-874-1500,"3,068",35
317,관악구,봉천현대시장,건물형,관악구 양녕로 49(은천동 502-4),등록,02-882-0492,"2,069",31
318,관악구,봉천제일종합시장,건물형,관악구 청룡2길 29(청룡동 921-1),등록,02-878-8881,"3,521",31
319,관악구,봉천중앙시장,건물형,관악구 관악로 211(중앙동 32-2),등록,02-876-5574,"3,406",36
320,관악구,신림종합시장,건물형,관악구 남부순환로157길 63  (신사동 505-1),등록,02-856-4556,"3,778",25
321,관악구,신신림시장,건물형,관악구 원신2길 34(삼성동 390-1),등록,"1,824",11,
322,관악구,신림중앙시장,건물형,관악구 조원로16길 27(조원동 541),등록,02-853-7471,"6,167",140
323,관악구,원당종합시장,건물형,관악구 남부순환로248길 35(인헌동 1638-20),등록,02-888-0930,"2,059",7
324,관악구,우림시장,건물형,관악구 난곡로26길 4(난곡동 637-1),등록,02-853-1866,"1,726",17
325,관악구,관악종합시장,건물형,관악구 신원로 23(신원동 1602-1),등록,02-856-4355,"2,036",57
326,관악구,신림현대종합상가,건물형,관악구 신림로29길 8(서림동 1694),등록,02-875-4271,"5,053",43
327,관악구,신원시장,골목형,관악구 신원로3길 20-3(신원동 1587-26),인정,02-854-5453,"3,678",119
328,관악구,관악신사시장,골목형,관악구 난곡로74길 58(신사동 494-7),인정,02-855-1994,"3,778",100
329,관악구,조원동 펭귄시장,골목형,관악구 남부순환로143나길 7(조원동 541-6),인정,02-857-3810,"9,831",70
330,관악구,인헌시장,골목형,관악구 인헌6길 24(인헌동 1638-22),인정,070-8104-2665,"9,751",52
331,관악구,삼성동 시장,골목형,관악구 원신1길 28-1(삼성동 808-495),무등록,02-884-0428,"4,800",228
332,관악구,봉리단길 골목형상점가,골목형,장군봉6길 15 외 68필지(청룡동 928-1 외 68필지),골목형상점가,"20,432",223,
333,관악구,서원동상점가,상점가,관악구 신림로 329(서원동 1637),상점가,02-889-1233,"17,115",200
334,관악구,미성동 도깨비시장 골목형상점가,골목형,관악구 미성3길 1(미성동 727-5),골목형상점가,02-859-1383,"9,190",94
335,관악구,강남골목시장,골목형,관악구 조원로6길 15 외 20필지(조원동 1652 외 20필지),골목형상점가,"8,072",59,
336,관악구,난곡 골목형상점가,골목형,관악구 난곡로24길 12 외,골목형상점가,"5,243",79,
337,관악구,관악중부시장,골목형,관악구 관악로 222 외,골목형상점가,"4,247",65,
소계,서초구,5,860,,,,,
338,서초구,남부종합시장,건물형,서초구 방배중앙로27길 17 (방배본동 767-1),등록,599-6735,"5,975",84
339,서초구,양재시장,건물형,"서초구 남부순환로356길 15 (양재동 1-7,8-1번지)",등록,573-2132,"2,525",34
340,서초구,강남터미널지하도상점가,지하도상가,서초구 신반포로 200 (반포동 163 지하도상가 라40),상점가,535-8182,"7,696",608
341,서초구,엔터식스 강남점,지하도상가,"서초구 신반포로 194(반포동 19-3,4)",상점가,6321-6008,"1,556",30
342,서초구,말죽거리 골목형상점가,골목형,서초구 남부순환로 356길 49(양재동 9),골목형상점가,579-1966,"6,847",104
소계,강남구,10,"1,469",,,,,
343,강남구,강남시장,건물형,강남구 압구정로2길 46 (신사동 510-11호),등록,542-1754,"4,856",70
344,강남구,영동전통시장,골목형,강남구 강남대로 128길 20(논현동 140외 44필지),인정,512-9111,"39,954",110
345,강남구,논현종합시장,건물형,강남구 봉은사로33길 33(논현동 227-4),등록,549-1940,"2,439",40
346,강남구,신사상가,건물형,강남구 압구정로29길 72-1(압구정동 454),등록,542-3516,"2,931",84
347,강남구,청담삼익시장,건물형,강남구 학동로 101길 26 (청담동 134-20),등록,547-0225,"5,685",175
348,강남구,강남역 지하도상가,상점가,강남구 테헤란로 101(역삼동 821-1),상점가,553-1898,"12,099",212
349,강남구,강남개포시장(개포2동 중심상점가),상점가,강남구 개포로 512(개포동186),상점가,3411-5266,"12,099",137
350,강남구,도곡시장,상점가,강남구 선릉로 63길7                                  (역삼동 765-5),상점가,556-1229,"3,106",58
351,강남구,은마종합상점가,상점가,강남구 삼성로 212              (대치동 316),상점가,556-9323,"28,723",549
352,강남구,강남언주로,상점가,강남구 언주로98길 5-4(역삼동 699-1),상점가,"6,688",34,
소계,송파구,8,"1,104",,,,,
353,송파구,마천시장,건물형,"마천로 45길 23                      (마천동 140-2,3)",등록,409-6500,"3,871",64
354,송파구,석촌시장,골목형,송파대로37길 52                      (석촌동 274-8),인정,414-8784,"17,833",60
355,송파구,새마을시장,골목형,백제고분로15길 42         (잠실동 207-4),인정,413-5757,"19,961",111
356,송파구,풍납시장,골목형,바람드리길 15-1                        (풍납동 88-61),인정,472-2050,"23,670",146
357,송파구,문정동 로데오거리 상점가,상점가,동남로 4길 10                      (문정동 41-5),상점가,400-1633,"45,850",254
358,송파구,방이시장,골목형,가락로 243(방이동 124-20일대),인정,413-2100,"35,625",138
359,송파구,마천중앙시장,골목형,"마천로45길 16, 2층                   (마천동 136-20)",인정,448-2808,"14,757",140
360,송파구,가락골골목형상점가,상점가,"송이로20길 12-16, 2층(가락동 86-4)",골목형상점가,02-400-5688,"12,607.5㎡",191
소계,강동구,9,936,,,,,
361,강동구,암사종합시장,골목형,강동구 성암로11길 25(암사동 501-17),인정,442-1040,"17,394",114
362,강동구,길동복조리시장,골목형,강동구 천중로52길37일대,인정,070-4896-2544,"2,050",151
363,강동구,둔촌역전통시장,골목형,강동구 풍성로58길 34(성내동 428-9),인정,6052-5657,"3,955",87
364,강동구,성내전통시장,골목형,강동구 천호대로162길 65(성내동 144-16),인정,475-8272,"2,700",76
365,강동구,명일전통시장,골목형,강동구 양재대로138길 일대,인정,475-7095,"1,862",60
366,강동구,고분다리전통시장,골목형,강동구 구천면로34길 10(천호동 393-33),인정,6227-0045,"1,468",85
367,강동구,로데오거리상점가,상점가,강동구 천호대로157길 14(천호동 454-50),상점가,478-7156,"6,273",150
368,강동구,장신구 특화거리 상점가,상점가,강동구 성내로 83(성내동 545-6),상점가,475-9140,"3,366",109
369,강동구,고덕 골목형상점가,상점가,강동구 고덕로83길 18일대,골목형상점가,429-1376,"6,699",104
